Movie,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Profitability
Captain America: The First Avenger,78,75,3715,17512,176.65,264.69
Sherlock Holmes 2,60,79,3703,10704,186.85,436.36
Rise of the Planet of the Apes,83,87,3648,15024,176.7,518
Fast Five,78,83,3644,23655,209.4,500.9
X-Men: First Class,87,88,3641,15134,146.41,221.01
The Hangover Part II,35,58,3615,23775,254.46,733.46
Happy Feet 2,41,59,3606,5889,64.01,111.41
The Green Hornet,44,47,3584,9335,98.78,189.85
Hop,26,50,3579,10490,108.09,291.99
Footloose,71,71,3549,4383,51.8,264.76
Just Go With It,19,63,3548,8601,103.03,268.68
Dolphin Tale,84,81,3507,5461,72.29,257.86
New Year's Eve,8,48,3505,3714,54.54,253.64
Zookeeper,14,42,3482,5763,80.36,212.31
Mission Impossible 4,93,86,3448,8672,209.39,479.11
Real Steel,58,81,3440,7942,85.47,272.06
The Muppets,97,87,3440,8500,88.63,367.08
Jack and Jill,4,59,3438,7273,74.16,189.47
Battle: Los Angeles,35,50,3417,10411,83.55,302.6
The Smurfs,23,50,3395,10489,142.61,512.5
Super 8,82,78,3379,10492,127,520.19
Arthur Christmas,92,82,3376,3537,46.46,98.27
Tower Heist,68,61,3367,7135,78.04,203.9
Mr. Popper's Penguins,47,54,3339,5524,68.22,340.66
Apollo 18,23,31,3328,2615,17.69,511.24
Paranormal Activity 3,68,58,3321,15829,104.03,4140.78
Scream 4,58,57,3305,5656,38.18,242.84
Spy Kids: All The Time in the World,22,40,3295,3534,38.54,316.9
Arthur,26,49,3276,3731,33.04,114.34
Contagion,84,63,3222,6935,75.66,225.76
Diary of a Wimpy Kid 2: Rodrick Rules,47,63,3167,7500,52.7,344.84
Final Destination 5,61,56,3155,5715,42.59,394.72
I Am Number Four,32,57,3154,6167,55.1,249.8
In Time,38,55,3122,3860,37.52,434.83
Abduction,4,46,3118,3504,28.09,234.53
Mars Needs Moms,36,43,3117,2218,21.39,25.99
We Bought a Zoo,63,79,3117,3003,75.624,240.16
Fright Night,75,68,3114,2477,18.3,136.67
Immortals,36,59,3112,10349,83.5,302.54
The Adventures of Tintin,74,78,3087,3149,77.591,287.69
Bad Teacher,44,38,3049,10365,100.29,1080.98
Unknown,55,57,3043,7183,63.69,435.95
Horrible Bosses,69,72,3040,9310,117.54,598.97
Sucker Punch,23,48,3033,6284,36.39,109.5
Red Riding Hood,11,41,3030,4622,37.66,212.29
"Crazy, Stupid, Love",78,81,3020,6326,84.35,285.7
No Strings Attached,49,57,3018,6512,70.66,596.91
The Three Musketeers,24,48,3017,2875,20.37,176.37
Conan the Barbarian,22,34,3015,3324,21.3,54.22
What's Your Number,24,50,3002,1806,14.01,152.13
The Thing,36,52,2996,2835,16.93,72.18
Gnomeo and Juliet,56,52,2994,8469,99.97,538.8
Moneyball,95,89,2993,6516,75.6,220.4
Killer Elite,25,48,2986,3132,25.12,80.55
The Rite,20,43,2985,4955,33.05,259.59
Larry Crowne,34,46,2973,4405,35.61,240.03
Source Code,92,81,2961,5002,54.71,460.41
Hall Pass,35,44,2950,4588,45.06,231
The Dilemma,23,31,2940,6060,48.48,99.6
Friends With Benefits,71,68,2926,6364,55.8,427.26
Bridesmaids,90,77,2918,8995,169.11,887.33
The Girl With The Dragon Tattoo,87,89,2914,4382,102.06,257.96
The Change Up,24,53,2913,4645,37.08,145.09
30 Minutes or Less,43,48,2888,4616,37.05,144.81
Drive,93,79,2886,3929,35.06,507.83
A Very Harold and Kumar Christmas,72,71,2875,4506,35.06,186.25
Priest,17,37,2864,5221,29.14,130.51
The Adjustment Bureau,72,67,2840,7450,62.5,254.72
Water For Elephants,60,72,2817,5979,58.71,308.14
Season Of The Witch,10,32,2816,3769,24.83,229.07
Shark Night 3D,16,25,2806,2995,18.88,160.54
Paul,72,70,2802,4655,37.41,244.96
Sanctum,30,39,2787,3390,23.21,362.03
Your Highness,26,36,2769,3380,21.6,49.81
Don't Be Afraid Of The Dark,59,37,2760,3089,24.05,147.97
Limitless,69,73,2756,6860,79.25,599.44
The Sitter,22,43,2750,2582,30.441,139.76
Average,55,62,2733,8502,69,306.6
The Lincoln Lawyer,84,82,2707,4879,58.01,187.52
The Mechanic,53,52,2703,4226,29.12,127.68
Dream House,7,38,2661,3055,21.3,77
Extremely Loud and Incredibly Close,47,62,2630,3820,31.847,138.12
Colombiana,28,55,2614,3982,36.67,152.41
Our Idiot Brother,68,79,2555,2744,24.82,496.32
Hanna,71,67,2535,4880,40.26,212.6
The Help,75,91,2534,10278,169.71,866.56
The Roommate,4,29,2534,5921,37.3,253.08
Monte Carlo,38,50,2473,3014,23.19,198.33
50/50,93,93,2458,3517,35.01,489.84
Insidious,67,65,2408,5511,54.01,6467.27
Winnie The Pooh,91,79,2405,3267,26.69,110.51
War Horse,77,73,2376,6114,79.884,269.07
The Eagle,39,43,2296,3782,19.49,108.48
Drive Angry,45,38,2290,2265,10.72,64.29
The Rum Diary,50,48,2273,2259,13.11,53.21
Soul Surfer,46,79,2214,4789,43.85,261.6
The Ides of March,85,76,2199,4761,40.96,607.94
The Big Year,38,62,2150,1513,7.2,18.17
Take Me Home Tonight,28,46,2003,1730,6.93,27.71
Beastly,19,50,1952,5047,27.87,253.91
J.Edgar,42,84,1910,5873,37.31,241.73
Warrior,83,93,1869,2805,13.66,92.23
The Debt,76,70,1826,5427,31.18,228.18
One Day,37,54,1719,2955,13.84,395.92
Johnny English Reborn,38,55,1552,2470,8.31,355.73
Hugo,93,84,1277,8899,73.864,123.85
Midnight in Paris,93,84,944,6177,56.82,888.94
The Descendants,89,88,876,5000,82.58,886.22
Tinker Tailor Soldier Spy,83,68,809,6772,24.149,383.95
The Iron Lady,53,54,802,6749,30.017,884.27
The Conspirator,56,65,707,4960,11.54,61.91
The Artist,97,91,662,3583,44.671,833.95
Anonymous,46,66,265,3856,4.46,51.31
My Week with Marilyn,83,84,247,7174,14.6,350.57
Everything Must Go,74,53,218,3652,2.71,54.22
The Company Men,66,55,106,6111,4.44,32.55
The Beaver,62,57,22,4890,0.97,30.33
Cedar Rapids,86,61,15,20198,6.86,68.61
Shame,80,80,10,34952,3.09,259.6
Beginners,84,80,5,28268,5.79,447.19
The Tree Of Life,84,61,4,93230,13.3,169.7
21 Jump Street,85,82,3121,11632,138.45,479.97
A Late Quartet,NA,NA,9,8364,1.56,NA
A Royal Affair,NA,NA,7,5459,1.55,NA
Abraham Lincoln: Vampire Hunter,35,51,3108,5247,37.52,168.8
Agneepath,NA,NA,132,8640,1.99,NA
Albert Nobbs,NA,NA,245,2841,3.01,NA
American Reunion,44,63,3192,6740,57.01,469.98
Amour,NA,NA,3,22755,6.74,NA
Anna Karenina,63,51,16,20043,12.82,222.35
Arbitrage,87,63,197,10163,7.92,295.71
Argo,96,90,3232,6020,136.03,522.08
Atlas Shrugged: Part II,NA,NA,1012,1731,3.34,NA
Barfi!,NA,NA,132,8043,2.8,NA
Battleship,34,55,3690,6920,65.42,144.99
Beasts of the Southern Wild,86,76,4,42426,12.8,710.87
Big Miracle,74,64,2129,3645,20.16,61.8
Brave,78,76,4164,15928,237.28,291.34
Bully (PG-13),NA,NA,158,3389,3.86,NA
Casa De Mi Padre,NA,NA,382,5988,5.91,NA
Celeste and Jesse Forever,NA,NA,4,26946,3.09,NA
Chasing Mavericks,NA,NA,2002,1133,6,NA
Chernobyl Diaries,19,29,2433,3270,18.12,3715.76
Chronicle (2012),85,71,2907,7569,64.58,1055.3
Cloud Atlas,66,67,2008,4787,27.11,127.92
Contraband,51,58,2863,8505,66.53,385.05
Crooked Arrows,NA,NA,55,4679,1.83,NA
Dabangg 2,NA,NA,166,6140,2.52,NA
Dark Shadows,38,46,3755,7906,79.73,163.68
Diary of a Wimpy Kid: Dog Days,51,64,3391,4312,49.01,350.51
Django Unchained,88,92,3010,10008,162.81,425.37
Dr. Seuss' The Lorax,54,64,3729,18830,214.03,498.34
Dredd,78,72,2506,2505,13.41,71.25
Ek Tha Tiger,NA,NA,120,9495,2.35,NA
End of Watch,85,86,2730,4818,41,687.52
English Vinglish,NA,NA,88,8471,1.86,NA
Farewell My Queen,NA,NA,4,18025,1.6,NA
Flight,78,75,1884,13217,93.77,521.85
Footnote,NA,NA,2,23764,2.01,NA
For Greater Glory,NA,NA,757,2491,5.67,NA
Frankenweenie,87,70,3005,3798,35.29,208.95
Friends with Kids,NA,NA,369,5472,7.25,NA
Ghost Rider: Spirit of Vengeance,17,32,3174,6968,51.77,232.57
Girl in Progress,NA,NA,322,4298,2.61,NA
Goon,NA,NA,241,5116,4.17,NA
Haywire,80,40,2439,3454,18.94,145.1
Hitchcock,NA,NA,17,16924,6.01,NA
Hope Springs,74,56,2361,6205,63.54,380.94
Hotel Transylvania,45,72,3349,12697,148.31,421.62
House at the End of The Street,10,42,3083,3985,31.61,394.62
Housefull 2,NA,NA,121,7001,1.79,NA
Hyde Park on Hudson,NA,NA,4,20341,6.38,NA
Hysteria,NA,NA,5,7131,1.8,NA
Ice Age: Continental Drift,37,63,3881,12015,161.32,923.42
Jab Tak Hai Jaan,NA,NA,161,7973,3.05,NA
Jack Reacher,61,67,3352,4538,80.07,363.9
"Jeff, Who Lives at Home",NA,NA,254,3369,4.27,NA
Jiro Dreams of Sushi,NA,NA,2,21018,2.55,NA
John Carter,51,60,3749,8050,73.08,113.66
Journey 2: The Mysterious Island,52,60,3470,7878,103.86,424.38
Katy Perry: Part of Me,78,73,2730,2615,25.33,272.72
Kid With a Bike,NA,NA,3,15311,1.47,NA
Killer Joe,NA,NA,3,12633,1.99,NA
Killing Them Softly,75,44,2424,2811,15.03,252.87
Last Ounce of Courage,NA,NA,1407,1127,3.33,NA
Lawless,67,75,2888,3463,37.4,206.45
Les Miserables (2012),70,79,2814,9695,148.81,724.28
Life of Pi,87,85,2927,7670,124.99,507.51
Lincoln,90,81,11,85846,182.21,423.53
Looper,93,82,2992,6952,66.49,588.36
Madagascar 3: Europe's Most Wanted,79,73,4258,14166,216.39,515.12
Magic Mike,80,61,2930,13354,113.72,2388.88
Man on a Ledge,32,52,2998,2669,18.62,110.05
Marley,NA,NA,42,6238,1.41,NA
Marvel's The Avengers,92,91,4349,47698,623.36,690.27
MIB 3,70,71,4248,12851,179.02,277.35
Mirror Mirror,49,45,3603,5032,64.94,195.5
Monsieur Lazhar (U.S.-only),NA,NA,19,5905,2.01,NA
Moonrise Kingdom,94,86,4,130749,45.51,142.19
Nitro Circus the Movie 3D,NA,NA,800,1480,3.38,NA
October Baby (2012),NA,NA,390,4352,5.16,NA
Paranormal Activity 4,24,36,3412,8501,53.92,2856.78
ParaNorman,87,72,3429,4108,56,178.57
Parental Guidance,18,61,3367,4323,77.27,479.09
Pitch Perfect,81,83,335,15371,65,664.95
Premium Rush,76,60,2255,2674,20.28,88.81
Prometheus,74,69,3396,15032,126.48,310.27
Promised Land (2012),NA,NA,25,6957,7.6,NA
Raiders of the Lost Ark (IMAX),NA,NA,267,6269,3.13,NA
Red Dawn (2012),12,52,2724,5241,44.81,68.93
Red Tails,40,58,2512,7477,49.88,86.84
Resident Evil: Retribution,31,51,3012,6989,42.35,369.48
Rise of the Guardians,74,81,3653,6508,103.41,211.68
Robot & Frank,NA,NA,2,17770,3.33,NA
Rock of Ages,41,55,3470,4161,38.52,79.22
Ruby Sparks,NA,NA,13,10832,2.54,NA
Rust and Bone,NA,NA,2,13577,2.06,NA
Safe (2012),57,60,2266,3483,17.14,134.49
Safe House,53,64,3119,12880,126.37,244.8
Safety Not Guaranteed,NA,NA,9,10862,4.01,NA
Salmon Fishing in the Yemen,67,64,18,12550,9.05,238.38
Samsara,NA,NA,2,38111,2.67,NA
Savages (2012),51,55,2628,6095,47.38,184.37
Searching for Sugar Man,NA,NA,3,9153,3.7,NA
Seeking a Friend for the End of the World,NA,NA,1625,2352,7.08,NA
Seven Psychopaths,83,71,1480,2821,15.02,129.48
Silver Linings Playbook,92,86,16,27688,132.09,1125.77
Singin' In the Rain (2012 re-release),NA,NA,561,1047,1.61,NA
Sinister,63,61,2527,7126,48.09,2590.41
Skyfall,92,86,3505,25211,304.36,554.28
Sleepwalk with Me,NA,NA,1,68801,2.27,NA
Snow White and the Huntsman,48,52,3773,14900,155.33,233.29
Sparkle (2012),57,65,2244,5189,24.4,175.98
Step Up Revolution,42,69,2567,4570,35.07,425.67
Taken 2,21,54,3661,13525,139.85,835.87
Talaash,NA,NA,172,9527,2.87,NA
Ted,68,74,3239,16800,218.82,1098.74
That's My Boy,20,53,3030,4440,36.93,82.46
The Amazing Spider-Man,73,77,4318,14360,262.03,327.05
The Apparition,NA,NA,810,3508,4.94,NA
The Best Exotic Marigold Hotel,78,79,27,27298,46.41,1368.36
The Bourne Legacy,56,58,3745,10185,113.2,220.92
The Cabin in the Woods,92,73,2811,5245,42.07,221.62
The Campaign,65,51,3205,8296,86.91,NA
The Cold Light of Day,NA,NA,1511,1212,3.76,NA
The Collection,NA,NA,1403,2213,6.84,NA
The Dark Knight Rises,88,90,4404,36532,448.14,433.78
The Devil Inside,6,22,2285,14763,53.26,10175.85
The Dictator,57,45,3008,5796,59.65,275.97
The Expendables 2,65,68,3316,8622,85.03,305.43
The Five-Year Engagement,63,52,2936,3614,28.84,179.7
The Grey,79,61,3185,6174,51.58,309.11
The Guilt Trip,38,40,2431,2176,37.13,104.65
The Hobbit: An Unexpected Journey,65,83,4045,20919,303,508.5
The Hunger Games,84,81,4137,36871,408.01,886.22
The Impossible,81,85,15,9588,19.02,600.91
The Lucky One,20,68,3155,7137,60.46,397.43
The Master,85,59,5,147262,16.38,88.31
The Perks of Being a Wallflower,85,89,4,57090,17.74,256.8
The Pirates! Band of Misfits,86,60,3358,3317,31.05,223.73
The Possession,40,49,2816,6297,49.13,610.33
The Queen of Versailles,NA,NA,3,17109,2.4,NA
The Raid: Redemption,NA,NA,14,15270,4.11,NA
The Sessions,NA,NA,4,28367,6,NA
The Three Stooges,52,49,3477,4892,44.34,182.73
The Twilight Saga: Breaking Dawn Part 2,48,71,4070,34660,292.32,691.4
The Vow,29,63,2958,13929,125.01,653.72
The Watch,17,40,3168,4025,35.35,100.39
The Woman in Black,66,55,2855,7311,54.33,751.36
This Is 40,51,51,2912,3976,67.54,251.6
Total Recall (2012),30,47,3601,7103,58.88,158.77
Underworld Awakening,26,62,3078,8222,62.32,228.73
What to Expect When You're Expecting,22,48,3021,3491,41.15,210.96
Won't Back Down,NA,NA,2515,1035,5.31,NA
Wrath of the Titans,25,49,3545,9438,83.67,203.51
Wreck-It Ralph,86,87,3752,13070,189.42,285.59
Your Sister's Sister,NA,NA,13,8402,1.64,NA
Zero Dark Thirty,93,80,5,83430,95.72,332.05
About Time,69,83,1280,841,15.32,NA
The Fifth Estate,37,40,1769,946,3.26,30.55
Parker,41,49,2238,3131,17.62,132.05
The To-Do List,52,48,591,2672,3.49,237.75
Grown Ups 2,7,55,3491,11890,133.67,308.73
After Earth,11,38,3401,8092,60.52,187.57
Captain Phillips,93,92,3143,8183,106.24,393.61
Escape Plan,49,59,2883,3429,25.13,266.75
Prisoners,82,88,3290,6327,61,265.49
Stoker,68,61,275,584,1.71,100.65
Walking with Dinosaurs,25,41,3243,2187,34.69,141.49
Love is All You Need,74,60,101,364,1.63,182.13
The Kings of Summer,76,77,65,907,1.32,500.85
Iron Man 3,78,80,4253,40946,409.01,607.72
Despicable Me 2,74,85,4003,20864,368.06,1269.42
THG: Catching Fire,90,92,4163,37971,420.02,658.38
The Desolation of Smaug,75,85,3928,18749,252.33,376.59
Frozen,89,89,3742,65,347.9,540.27
Fast & Furious 6,69,84,3771,25822,238.68,492.92
Monsters University,78,83,4004,20587,268.49,371.78
Gravity,97,85,3820,14603,261.21,688.51
Man of Steel,55,76,4207,27720,291.05,296.91
Thor: The Dark World,65,83,3841,22322,204.51,372.3
The Croods,70,79,4065,10735,187.17,434.97
World War Z,67,73,3607,18412,202.36,284.21
Oz The Great & Powerful,59,57,3912,20223,234.91,229.45
Star Trek Into Darkness,87,90,3907,17959,228.78,245.98
The Wolverine,69,70,3924,13536,132.56,345.69
Pacific Rim,71,78,3285,11350,101.8,216.32
G.I. Joe: Retaliation,28,49,3734,10847,122.52,289.03
The Hangover Part III,19,45,3565,11689,112.2,351.46
Now You See Me,50,71,3082,9523,117.72,468.97
The Great Gatsby,49,68,3550,14109,144.84,334.32
The Smurfs 2,14,58,3867,4538,71.02,331
The Conjuring,86,83,3115,13437,137.4,1590
A Good Day to Die Hard,14,42,3555,6986,67.35,331.15
Oblivion,53,61,3792,9772,89.11,238.47
Elysium,68,60,3284,9077,93.05,248.82
Turbo,67,67,3809,5595,83.03,209.31
We're the Millers,47,73,3445,7669,150.39,729.71
Epic,64,66,3894,8611,107.52,268.43
The Lone Ranger,31,55,3904,7482,89.3,121.16
Cloudy with a Chance of Meatballs 2,70,66,4001,8502,118.87,330.48
The Heat,66,73,3184,12285,159.58,534.72
Hansel & Gretel,15,54,3375,5834,55.7,451.41
Planes,26,51,3716,5983,90.29,439.58
White House Down,50,63,3222,7713,73.1,136.91
Percy Jackson: Sea of Monsters,40,58,3080,4676,68.56,222.05
Jack the Giant Slayer,52,56,3525,7717,65.19,101.38
The Wolf of Wall Street,77,83,2557,7181,98.51,175.61
Identity Thief,19,55,3230,10697,134.51,497.04
The Secret Life of Walter Mitty,48,76,2922,4369,56.34,187.83
Lee Daniels' The Butler,73,80,3330,7399,116.6,559.03
Anchorman 2,75,62,3507,7480,123.8,331.01
American Hustle,93,79,2629,282,127,406
Insidious Chapter 2,37,60,3155,12765,83.59,3230.06
Olympus Has Fallen,48,68,3106,9779,98.93,230.04
Bad Grandpa,61,66,3345,9583,102,993.35
Mama,66,57,2781,10213,71.63,976.19
Red 2,42,64,3016,5984,53.26,169.14
2 Guns,64,68,3028,8936,75.61,216.3
12 years a slave,96,92,1474,627,49.28,640.9
This is the End,83,73,3055,6782,101.47,393.88
47 Ronin,12,56,2690,3684,38.06,69.57
Last Vegas,47,62,3237,5046,63.75,420.51
Warm Bodies,80,74,3009,6764,66.38,334.23
Ender's Game,61,72,3407,7930,61.74,102.03
Gangster Squad,32,59,3103,5501,46,175.33
Riddick,58,56,3117,6105,42.03,258.78
Evil Dead,62,64,3025,8521,54.24,573.78
42,78,86,3405,8073,95.02,237.55
Blue Jasmine,91,81,1283,477,33.2,526.68
Lone Survivor,74,NA,3285,28,93.91,234.79
The Internship,34,54,3399,5097,44.67,161.19
Saving Mr. Banks,81,89,2671,155,79.16,260.74
Free Birds,18,47,3736,4231,55.44,165.16
The Mortal Instruments: City of Bones,12,61,3118,2995,31.17,150.94
Rush,89,92,2308,81,26.95,237.49
The Purge,37,37,2591,13145,64.47,2977.62
Pain and Gain,49,48,3303,6129,49.88,331.44
Philomena,92,91,1225,105,33.22,707.23
Carrie,49,48,3157,5100,35.27,280.1
Scary Movie 5,4,41,3402,4161,32.02,391.89
R.I.P.D.,13,39,2852,4450,33.62,60.25
The Best Man Holiday,67,90,2041,14751,70.53,421.32
Safe Haven,12,68,3223,6640,71.35,254.82
The Counselor,34,25,3044,2577,16.97,280.95
The Call,43,66,2507,6828,51.87,527.48
Side Effects,84,71,2605,3571,32.17,211.24
Runner Runner,9,34,3026,2547,19.32,208.92
Beautiful Creatures,37,34,2950,2570,19.45,100.09
A Haunted House,10,54,2160,8380,40.04,2397.67
Kick-Ass 2,29,62,2945,4527,28.8,212.7
Quartet,80,65,725,65,18.39,541.09
The Last Stand,60,55,2913,2156,12.05,107.4
The Host,8,50,3202,3310,26.63,120.57
The World's End,89,73,1553,5674,26,230.45
21 and Over,28,49,2771,3159,25.68,350.63
Snitch,56,63,2511,5244,42.93,286.2
Jobs,27,85,2381,2820,16.13,299.43
The Place Beyond the Pines,81,75,1584,176,21.4,236.57
August: Osage County,65,72,2411,74,26.51,141.82
Spring Breakers,65,39,1379,191,14.12,634.49
Homefront,40,66,2570,2691,20.16,142.54
Delivery Man,38,52,3036,2617,30.13,120.5
Dallas Buyers Club,94,92,1110,235,24.85,616.9
Don Jon,81,64,2422,3583,24.48,507.51
Her,94,85,1729,151,24.12,132.02
Movie 43,4,25,2023,2376,8.84,498.77
Grudge Match,28,57,2856,2459,29.24,73.09
Mandela: Long Walk to Freedom,58,73,1010,83,8.08,77.89
Dark Skies,39,50,2313,3540,17.42,754.91
Enough Said,96,78,835,279,17.55,305.23
Trance,68,64,443,296,2.33,121.31
Inside Llewyn Davis,94,76,729,556,12,210.97
"The Way, Way Back",85,85,1001,552,21.51,504.32
Baggage Claim,14,56,2230,4050,21.57,264.19
The Big Wedding,7,42,2633,2883,21.82,62.34
The Sapphires,91,76,126,305,2.45,226.93
Broken City,28,42,2622,3154,19.7,56.29
The Bling Ring,60,34,650,330,5.85,239.32
Dead Man Down,38,48,2188,2443,10.9,NA
Admission,38,34,2161,2848,18.01,138.52
Fruitvale Station,94,92,1086,356,16.1,1702.6
Battle of the Year,6,52,2008,2292,8.89,82.75
The Last Exorcism Part II,16,27,2700,2862,15.18,303.59
Machete Kills,29,39,2538,1512,8.01,NA
Paranoia,4,NA,2459,1435,7.39,39.39
I'm So Excited,47,38,99,983,1.37,NA
Nebraska,92,86,968,145,11.72,97.67
Out of the Furnace,52,53,2101,2485,11.31,51.5
Before Midnight,98,82,897,275,8.11,372.55
Getaway,2,36,2135,2110,10.5,58.34
Bullet to the Head,46,41,2404,1892,9.49,NA
Black Nativity,48,57,1525,2406,7.02,42.6
Blue Is the Warmest Color,90,87,142,706,2.16,134.01
Unfinished Song,64,71,91,283,1.7,NA
The Spectacular Now,92,NA,770,256,6.85,274.18
All Is Lost,93,66,483,194,6.22,73.68
Closed Circuit,42,33,870,2833,5.75,NA
The Company You Keep,55,45,807,163,5.13,256.65
Oldboy,43,37,583,1519,2.19,16.2
Frances Ha,93,78,233,590,4.07,58.14
Emperor,31,47,311,3261,3.35,NA
Stand Up Guys,37,47,670,2218,3.31,183.89
In a World,92,74,144,490,2.96,331
The East,74,66,195,395,2.3,36.95
No,93,79,99,725,2.34,NA
Renoir,68,57,86,758,2.29,39.06
Austenland,30,60,274,148,2.16,44.06
The Iceman,66,63,258,341,1.97,19.69
Girl Most Likely,20,35,351,1978,1.38,2.3
Wadjda,99,89,87,474,1.35,539.1
Much Ado About Nothing,84,78,222,775,4.33,NA
The Butler,73,79,2933,8400,116.63,559.14
The Canyons,22,NA,1,13351,0.06,77.21
The Call,43,66,2507,6828,51.87,527.48
The English Teacher,42,NA,2,3001,0.1,NA
John Dies at the End,61,53,1,12467,0.14,14.2
Lovelace,55,37,118,1564,0.36,15.25
